filename,Country,VST,CEFR,CEFR_Number,SUBTLEXus_Freq_Log_CW_TAALES,COCA_magazine_lemma_frequency_Log_CW_TAALES,All_AWL_Normed_TAALES,Brysbaert_Concreteness_Combined_CW_TAALES,LD_Mean_RT_CW_TAALES,mattr50_aw_TAALED,hdd42_aw_TAALED,mtld_original_aw
W_KOR_215.txt,KOR,32,B2_0,4,4.09558,2.615549396,0.030516432,3.143688889,610.0900435,0.660115607,0.768675749,34.41706049
W_KOR_228.txt,KOR,44,B2_0,4,3.755959922,2.390153347,0.037344398,3.111294118,615.4311067,0.703060686,0.792567391,46.92055231
W_JPN_099.txt,JPN,25,A2_0,1,3.906784549,2.607158031,0.019002375,3.08892562,614.0687336,0.74371517,0.819616188,62.97236615
W_THA_044.txt,THA,38,B1_2,3,3.938825896,2.516596421,0.054824561,3.024980237,606.0271371,0.738915989,0.80175858,51.50809465
W_THA_050.txt,THA,27,B1_1,2,3.997652586,2.539972954,0.02905569,2.998908297,610.7111111,0.780966767,0.829290372,63.84680674
W_THA_291.txt,THA,41,B1_2,3,3.980862452,2.495546395,0.026845638,3.048269231,608.1942146,0.797900552,0.843817727,88.90822669
W_JPN_264.txt,JPN,26,B1_1,2,3.704976606,2.351854804,0.018518519,3.225509259,617.1053052,0.7485,0.798517989,46.73885063
W_JPN_270.txt,JPN,16,A2_0,1,3.706360648,2.270313138,0.027272727,3.1868,619.81,0.745800604,0.792010238,47.43038498
W_JPN_304.txt,JPN,44,A2_0,1,3.855745701,2.489641143,0.028776978,2.927964602,616.8856422,0.756862745,0.819149395,59.94650321
W_CHN_097.txt,CHN,21,A2_0,1,3.875724615,2.578117043,0.03646833,3.029616858,613.378249,0.745277778,0.79342897,60.32106479
W_JPN_106.txt,JPN,20,A2_0,1,3.756293074,2.372278924,0.046948357,3.070652174,616.7001762,0.725465465,0.820031761,58.92612062
W_THA_124.txt,THA,29,B1_1,2,4.087841438,2.608798584,0.037037037,2.921137931,612.5703425,0.753257919,0.824447245,58.98938187
W_JPN_138.txt,JPN,25,B1_1,2,3.846738532,2.469768164,0.011792453,3.134266055,624.068436,0.697777778,0.775196021,43.59089482
W_CHN_095.txt,CHN,29,B1_1,2,3.821118478,2.438061927,0.044444444,2.925126354,618.6302182,0.773333333,0.810213654,66.17916074
W_THA_330.txt,THA,40,B1_2,3,3.787173668,2.435761783,0.059273423,3.05645768,623.1323585,0.766126126,0.829403721,65.28239821
W_SIN_070.txt,SIN,43,B1_2,3,3.805484279,2.443353003,0.029345372,2.977324561,616.2749333,0.800526316,0.825170266,75.56324686
W_THA_324.txt,THA,20,A2_0,1,3.733411278,2.305649785,0.059241706,3.308619403,610.954053,0.590128205,0.719612335,28.03402062
W_JPN_306.txt,JPN,36,A2_0,1,3.921681933,2.524069572,0.037558685,3.040420168,608.9020426,0.754424242,0.836078564,57.84995799
W_KOR_174.txt,KOR,43,B1_1,2,4.06402467,2.601478651,0.022916667,2.956550218,606.2810177,0.792756757,0.820961502,56.93915757
W_SIN_104.txt,SIN,47,B2_0,4,3.679740278,2.392948179,0.032941176,2.899766355,634.2384977,0.797026239,0.826223125,79.77391304
W_THA_250.txt,THA,29,B1_1,2,3.979107724,2.55566658,0.023310023,3.07766129,610.1820248,0.734561404,0.794124764,56.04565747
W_THA_278.txt,THA,30,B1_1,2,3.76086749,2.429480748,0.053364269,3.03197479,618.3594628,0.727155425,0.796510356,48.10939112
W_THA_287.txt,THA,22,A2_0,1,4.256794059,2.506971178,0.038277512,2.973960396,605.4767662,0.673897281,0.742463864,41.7
W_THA_293.txt,THA,44,B1_2,3,3.826311659,2.363994305,0.036697248,3.05,620.3661818,0.787213115,0.825070082,73
W_JPN_058.txt,JPN,36,B1_2,3,3.884817284,2.514517182,0.020325203,2.946220472,613.2285294,0.771897436,0.82144492,65.3968254
W_THA_052.txt,THA,21,A2_0,1,4.042326027,2.630224627,0.044496487,3.038181818,603.375,0.717829912,0.78163877,43.97705712
W_CHN_122.txt,CHN,32,B1_1,2,3.76895531,2.359687405,0.029411765,3.002133333,623.3163839,0.786307278,0.832541284,82.22763158
W_JPN_070.txt,JPN,28,A2_0,1,3.935321296,2.496073802,0.029885057,3.148240741,614.0185185,0.697869822,0.794238252,45.74194121
